timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-05-22T12:22:03,codecarbon,74282680-bbec-4c60-82ea-027f1bd7a17c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,977.9845170830376,0.0003190071139279,3.261883070290358e-07,4.785921538461539,0.7219923076923076,3.0,0.0010231503717973,0.0001753657642545,0.0006343314015977,0.0018328475376496,0.0,Spain,ESP,catalonia,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.1,3.2.7,8,Apple M1,1,Apple M1,2.188,41.4231,8.0,machine,10.354088050314465,0,79.562893081761,3.5070411474199914,N,1.0,0.0
2026-05-22T12:38:53,codecarbon,ab567a38-e67c-4e68-b087-c174fa8e3e3c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1007.8256500414572,0.0003269014388505,3.2436308684648693e-07,4.7848791044776116,0.66655223880597,3.0,0.0010557206922606,0.0001675373661256,0.0006549461292064,0.0018782041875927,0.0,Spain,ESP,catalonia,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.1,3.2.7,8,Apple M1,1,Apple M1,2.188,41.4231,8.0,machine,11.13063524590164,0,84.4373975409836,3.019953743356173,N,1.0,0.0
2026-05-22T12:55:41,codecarbon,d6f21c33-7784-4169-974b-e86c69fdba37,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1004.6287004170008,0.0003403399608327526,3.3877188725693826e-07,5.159907575757578,0.7238712121212121,3.0,0.0011227305942545516,0.00018097672075235757,0.0006517075705590347,0.0019554148855659443,0.0,Spain,ESP,catalonia,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.1,3.2.7,8,Apple M1,1,Apple M1,2.188,41.4231,8.0,machine,11.164736297828334,0,84.5171664943123,3.087609465637523,N,1.0,0.0
